character_name,show_name,image_link
John the Don,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/d/da/Balochistan%27s_Picture_of_John_but_the_picture_is_now_transparent.png/revision/latest?cb=20200629020651
Chingam,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/7/7a/Chingum_New.png/revision/latest?cb=20190821021108
Boxer,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/e/e9/Boxer_3.png/revision/latest?cb=20170907062533
Samosa wala,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/d/d2/Chaiwala_.png/revision/latest?cb=20170807021958
Hera Singh,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/5/56/Hera.png/revision/latest?cb=20180327092110
Number 1,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/3/35/N1-removebg-preview.png/revision/latest?cb=20200916144607
Number 2,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/f/f7/Number_2_New_Version.png/revision/latest?cb=20200729213341
Doraemon,Doraemon,https://upload.wikimedia.org/wikipedia/en/b/bd/Doraemon_character.png
Nobita Nobi,Doraemon,https://e7.pngegg.com/pngimages/947/1003/png-clipart-shizuka-minamoto-nobita-nobi-doraemon-animation-doraemon-child-hand.png
Shizuka Minamoto,Doraemon,https://static.wikia.nocookie.net/doraemon/images/7/71/C0E297DC-08AE-43E6-841D-41E95B2FC8D0.jpeg/revision/latest?cb=20181218213552&path-prefix=en
"Takeshi ""Gian"" Goda",Doraemon,https://static.wikia.nocookie.net/doraemon/images/4/45/Jaian_2005_ID.png/revision/latest/scale-to-width-down/1200?cb=20181215062535&path-prefix=en
Suneo Honekawa,Doraemon,https://i.pinimg.com/736x/88/3c/a5/883ca5c817ea84fae981ab1abc356dce.jpg
Shin Chan Nohara,Shin Chan,https://static.wikia.nocookie.net/crayonshinchan/images/6/6d/SHIN.png/revision/latest?cb=20200609184539
Misae Nohara (Shin Chan's mother),Shin Chan,https://qph.cf2.quoracdn.net/main-qimg-987f49a6d04406e0b62f70a366bf6b7a-pjlq
Hiroshi Nohara (Shin Chan's father),Shin Chan,https://1.bp.blogspot.com/-h-d-TiYST3Q/YJoKmHi4n3I/AAAAAAAACSw/EmeUYHhSWpkuPMo6gE77UlaBnO2-umTZACLcBGAsYHQ/w450-h253/c4decbb9029c90006bf471be59e6807532b59f63_hq.jpg
Himawari Nohara (Shin Chan's sister),Shin Chan,https://i.pinimg.com/originals/f1/81/c0/f181c0fc8387146d3ab00411378b767b.jpg
Nene Sakurada,Shin Chan,https://static.wikia.nocookie.net/crayonshinchan/images/4/40/Pennt.png/revision/latest?cb=20200811055030
Kazama,Shin Chan,https://static.wikia.nocookie.net/crayonshinchan/images/d/d1/Kazama.png/revision/latest?cb=20200811030303
Masao,Shin Chan,https://static.wikia.nocookie.net/crayonshinchan/images/e/ec/Masao.png/revision/latest?cb=20200811111456
Bo-chan,Shin Chan,https://static.wikia.nocookie.net/crayonshinchan/images/5/5f/Bo.png/revision/latest?cb=20200811110840
Yoshinaga,Shin Chan,https://static.wikia.nocookie.net/crayonshinchan/images/f/f8/Yoshinga.jpeg/revision/latest?cb=20120506032223
Kris,Roll No. 21,https://s3.ap-south-1.amazonaws.com/pogons3/characters/190.png
Kanishk,Roll No. 21,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/f90db511fb151b79c2491f7b5057d70a0675c2da4e00cee3a967f9fac44b8bde._RI_TTW_.png
Principal Kanishk,Roll No. 21,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/e565023413c0bf8de08d3604c1d4a0253cac6a54bab7e878593a9a4d1c5d341e._RI_TTW_.png
Babloo,Roll No. 21,https://static.wikia.nocookie.net/roll-no-21/images/d/dc/Bablu_Portal.png/revision/latest?cb=20150607113054
Golu,Roll No. 21,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/696a91e57c718b228556e107c11cb0ee9ba4b905c28c41052632a900c16fa685._RI_TTW_.png
Ben Tennyson,Ben 10,https://static.wikia.nocookie.net/ben10/images/1/16/Ben_Tennyson_%28Classic%29_Original_Series_Pose_1.png/revision/latest?cb=20200510173243
Gwen Tennyson,Ben 10,https://static.wikia.nocookie.net/ben10/images/9/99/Gwen_Tennyson_%28Classic%29_Original_Series_Pose_1.png/revision/latest?cb=20200510173234
Max Tennyson,Ben 10,https://static.wikia.nocookie.net/ben10/images/c/c8/Max_tenyson_poses_%281%29.png/revision/latest?cb=20200510173221
Kevin Levin,Ben 10,https://static.wikia.nocookie.net/ben10/images/c/ce/KevinAFStanding.png/revision/latest?cb=20210602130424
Vilgax,Ben 10,https://static.wikia.nocookie.net/ben10/images/1/15/Implants_Vilgax.png/revision/latest?cb=20210315202005
Four Arms,Ben 10,https://static.wikia.nocookie.net/ben10/images/d/d0/Four_arms_os_render.png/revision/latest?cb=20141129030943
Heatblast,Ben 10,https://static.wikia.nocookie.net/ben10/images/7/70/Heatblast_os.png/revision/latest?cb=20210316202327
XLR8,Ben 10,https://static.wikia.nocookie.net/ben10/images/8/85/XLR8.png/revision/latest?cb=20170401222738
Diamondhead,Ben 10,https://static.wikia.nocookie.net/ben10/images/a/ab/Diamondhead_os.png/revision/latest?cb=20210220164254
Upgrade,Ben 10,https://static.wikia.nocookie.net/ben10/images/6/62/Upgrade_Model.png/revision/latest?cb=20200511092500
Grey Matter,Ben 10,https://static.wikia.nocookie.net/ben10/images/e/e9/Grey_Matter.png/revision/latest?cb=20140510174853
Wildvine,Ben 10,https://static.wikia.nocookie.net/ben10/images/6/61/Wildvine_Flors_Verdance.png/revision/latest?cb=20210314021751
Stinkfly,Ben 10,https://e1.pxfuel.com/desktop-wallpaper/88/304/desktop-wallpaper-discuss-everything-about-ben-10-wiki-stinkfly.jpg
Ripjaws,Ben 10,https://static.wikia.nocookie.net/ben10/images/9/98/Ripjaws.png/revision/latest?cb=20210314020024
Oggy,Oggy and the Cockroaches,https://static.wikia.nocookie.net/oggyandthecockroaches/images/d/d9/OGGY_PERSO.png/revision/latest?cb=20181112161051
Dee Dee,Oggy and the Cockroaches,https://i.pinimg.com/originals/3a/b2/74/3ab2743fdede45d9f0601db54f1c91ef.png
Marky,Oggy and the Cockroaches,https://static.wikia.nocookie.net/oggyandthecockroaches/images/7/71/MARKY_PERSO.png/revision/latest?cb=20171129180137
Joey,Oggy and the Cockroaches,https://static.wikia.nocookie.net/oggyandthecockroaches/images/b/b6/JOEY_PERSO.png/revision/latest?cb=20171129180125
Jack,Oggy and the Cockroaches,https://static.wikia.nocookie.net/oggyandthecockroaches/images/c/cf/JACK_PERSO.png/revision/latest?cb=20171129180205
Bob,Oggy and the Cockroaches,https://assets.mycast.io/actor_images/actor-bob-oggy-and-the-cockroaches-400472_large.jpg?1649226404
Little Krishna,Little Krishna,https://wallpaperaccess.com/full/2080104.jpg
Radha,Little Krishna,https://m.media-amazon.com/images/I/81e6yruYILL.jpg
Balarama,Little Krishna,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/ee79ac3d3045ba2b2aa38203c575753fa9a60143b71aad653e23ff7df1a44f7f._RI_TTW_.png
Kamsa,Little Krishna,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRORl7WNGgz65W4GNq8lq7SCtbZ7TDs_jmm9C8dB8u0_RbFDZMk4gye3fCTACRs_I0AzEI&usqp=CAU
Yashoda,Little Krishna,https://e1.pxfuel.com/desktop-wallpaper/673/885/desktop-wallpaper-krishna-yashoda-anime-of-krishna-in-cartoon.jpg
Nanda Baba,Little Krishna,https://i.pinimg.com/originals/bd/be/52/bdbe525782e745cc20d5ad12ff8fe10f.jpg
Jarasandha,Little Krishna,https://3.bp.blogspot.com/_bFgDF8QgmFM/TDVZWmAlWCI/AAAAAAAAAHo/8S3YU0dnIDM/s1600/The+Story+of+Krishna+and+Jarasandha.gif
Ugrasena,Little Krishna,https://i.pinimg.com/originals/19/a3/5a/19a35a46859598a8f9381f60c118138a.jpg
Indra,Little Krishna,https://m.media-amazon.com/images/M/MV5BMDJjM2Q3NmYtZThiYS00N2E4LWJjMWEtZGQ4YmNkMTQ5MmYyXkEyXkFqcGdeQXVyNTc0NjY1ODk@._V1_.jpg
Shridama,Little Krishna,https://m.media-amazon.com/images/M/MV5BMDJjM2Q3NmYtZThiYS00N2E4LWJjMWEtZGQ4YmNkMTQ5MmYyXkEyXkFqcGdeQXVyNTc0NjY1ODk@._V1_.jpg
Subala,Little Krishna,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl5TXQax_XGeIK2x0zc1ZiuO1c8x7bYeFCG2JcoT4Q9j4777ca568UGP5MmTjLqGIXe7w&usqp=CAU
Doggy Don,Pakdam Pakdai,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/ec909268c0649b48e97d3cacf692b619dd069588b1ed8955d9cb2f6fe7b16296._RI_TTW_.jpg
Colonel,Pakdam Pakdai,https://static.wikia.nocookie.net/pakdam-pakdai/images/4/48/Colonel_nud2k.png/revision/latest/scale-to-width-down/180?cb=20200529203943
Chhotu,Pakdam Pakdai,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/4ae7b76b119a6d291a48b999d65c7a7fb16811733072cddfeee7d31e0d22534c._RI_TTW_.jpg
Motu,Pakdam Pakdai,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/4ae7b76b119a6d291a48b999d65c7a7fb16811733072cddfeee7d31e0d22534c._RI_TTW_.jpg
Lambu,Pakdam Pakdai,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/4ae7b76b119a6d291a48b999d65c7a7fb16811733072cddfeee7d31e0d22534c._RI_TTW_.jpg
Kitty,Pakdam Pakdai,https://e1.pxfuel.com/desktop-wallpaper/153/755/desktop-wallpaper-why-is-doraemon-the-most-favorite-cartoon-character-in-india-pakdam-pakdai.jpg
Bal Ganesh,Bal Ganesh,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/62205f36b083125c12438d000a9609ae669cf63229305792c05aaaa2cd64ed8b._RI_TTW_.jpg
Gajmukhasur,Bal Ganesh,https://i.ytimg.com/vi/Lc1h9gb8ppk/maxresdefault.jpg
Hattori,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/a/ac/Imagess.jpg/revision/latest?cb=20190717174758
Kenichi,Ninja Hattori,https://static.wikia.nocookie.net/p__/images/8/88/Kenichi_Mitsuba.png/revision/latest?cb=20190628205832&path-prefix=protagonist
Shishimaru,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/c/c2/C682D73F-6033-45EA-9E95-B75B1BF320F9.jpeg/revision/latest/scale-to-width-down/250?cb=20210527182524
Shinzo,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/9/9f/676BC0A4-41CC-4B98-B024-423F5698CC0D.jpeg/revision/latest/scale-to-width-down/250?cb=20210409142005
Kemumaki,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/a/a6/Kemo.PNG/revision/latest?cb=20180905155756
Yumeko,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/7/71/Yumeko_%282%29.png/revision/latest?cb=20160911165350
Kagechiyo,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/2/27/Vlcsnap-2017-04-27-22h30m31s064.png/revision/latest/scale-to-width-down/1920?cb=20170428051119
Tsubame,Ninja Hattori,https://i.pinimg.com/1200x/df/77/60/df776085bff4ad43b0b624717adc7213.jpg
Koike-sensei,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/3/31/2m6k7qh.png/revision/latest/scale-to-width-down/250?cb=20170506211114
Mrs. Mitsuba,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/f/fc/Mom_%281%29.png/revision/latest?cb=20160911170348
Mr. Mitsuba,Ninja Hattori,https://static.wikia.nocookie.net/ninjahattori/images/1/18/Kentaru_Mitsuba_Editon.png/revision/latest/scale-to-width-down/500?cb=20160423063912
Mighty Raju,Mighty Raju,https://wallpaperaccess.com/full/5425489.jpg
Gopi,Mighty Raju,https://www.greengold.tv/assets/Character/MR/Gopi.jpg
Moby,Mighty Raju,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQX2WPCncfQxupV6Ze9CNTBpuSRT2UQPKU-zuy5iYBKb3wkOBxm0gmxNLL8Qv9pZs6FVak&usqp=CAU
Cheeky,Mighty Raju,https://i.ytimg.com/vi/p8JSZQ-noU4/maxresdefault.jpg
Julie,Mighty Raju,https://www.greengold.tv/assets/Character/MR/July.jpg
Chhutki,Mighty Raju,https://e0.pxfuel.com/wallpapers/298/964/desktop-wallpaper-wrong-legs-chhota-bheem-indumati-chutki-mighty-raju-finger-family-song-learn-colors-for-kids.jpg
Commissioner Khanna,Mighty Raju,https://www.greengold.tv/assets/Character/MR/Khanna.jpg
Karaati,Mighty Raju,https://www.greengold.tv/assets/Character/MR/Karate.jpg
Mr. Sinha,Mighty Raju,https://www.greengold.tv/assets/Character/MR/Karate.jpg
Montu,Mighty Raju,https://www.greengold.tv/assets/Character/MR/Karate.jpg
Charlie,Mighty Raju,https://s3.ap-south-1.amazonaws.com/pogons3/characters/24.png
Swami,Mighty Raju,https://www.greengold.tv/assets/Character/MR/Swamy.jpg
Shiva,Shiva,https://www.greengold.tv/assets/Character/MR/Swamy.jpg
Aditya,Shiva,https://cdn.sonicgang.com/wp-content/uploads/2019/04/23145441/adi-small.png
Reva,Shiva,https://cdn.sonicgang.com/wp-content/uploads/2019/04/23145400/reva-small.png
Mr. Ladoo Singh,Shiva,https://cdn.sonicgang.com/wp-content/uploads/2019/04/23144017/laddo-small.png
Mrs. Ladoo Singh,Shiva,https://cdn.nickindia.com/wp-content/uploads/2018/06/Laddoo-Singh-live-v1-min.png
Vikram,Vikram Betal,https://media.newstrack.in/uploads/entertainment-news/television-news/Apr/21/big_thumb/fghf_5e9e6feb5164d.JPG
Betal,Vikram Betal,https://3.bp.blogspot.com/-2XX72-XsoUU/U8TX-H_eegI/AAAAAAAAIio/l9h1X8qabRY/s1600-rw/vikram-betal-stories-betal-pachchisi.jpg
Guru,Guru Aur Bhole,https://m.media-amazon.com/images/M/MV5BNjhmYjIxNWMtOWM3Ni00NWU5LWFlOGYtYTcwYTM1OWZjNTRkXkEyXkFqcGdeQXVyODQyMjg4NDE@._V1_.jpg
Bhole,Guru Aur Bhole,https://m.media-amazon.com/images/M/MV5BNjhmYjIxNWMtOWM3Ni00NWU5LWFlOGYtYTcwYTM1OWZjNTRkXkEyXkFqcGdeQXVyODQyMjg4NDE@._V1_.jpg
Gattu,Sab Jholmaal Hai,https://e1.pxfuel.com/desktop-wallpaper/584/513/desktop-wallpaper-sab-jholmaal-hai-honey-bunny-thumbnail.jpg
Gatru,Sab Jholmaal Hai,https://e1.pxfuel.com/desktop-wallpaper/584/513/desktop-wallpaper-sab-jholmaal-hai-honey-bunny.jpg
Sundar,Sab Jholmaal Hai,https://e1.pxfuel.com/desktop-wallpaper/885/287/desktop-wallpaper-sab-jholmaal-hai-honey-bunny.jpg
Ballu,Sab Jholmaal Hai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr1QSHLJbRjdZw2fY0nIoFj5wlM5mP_ejtIlcgXTQ9z5oh4tD0WSfzAtOH2_8ELj6BI3k&usqp=CAU
Lambu,Sab Jholmaal Hai,https://e1.pxfuel.com/desktop-wallpaper/584/513/desktop-wallpaper-sab-jholmaal-hai-honey-bunny.jpg
Badru,Sab Jholmaal Hai,https://e1.pxfuel.com/desktop-wallpaper/584/513/desktop-wallpaper-sab-jholmaal-hai-honey-bunny.jpg
Chunnu,Sab Jholmaal Hai,https://e1.pxfuel.com/desktop-wallpaper/584/513/desktop-wallpaper-sab-jholmaal-hai-honey-bunny-thumbnail.jpg
Munnu,Sab Jholmaal Hai,https://e1.pxfuel.com/desktop-wallpaper/584/513/desktop-wallpaper-sab-jholmaal-hai-honey-bunny-thumbnail.jpg
Eena,Eena Meena Deeka,https://cdn.untumble.com/Uploads/ProductImages/eena-meena-deeka/Eena-Meena-Deeka-Cutout-1-637312602489952596.jpg
Meena,Eena Meena Deeka,https://cdn.untumble.com/Uploads/ProductImages/eena-meena-deeka/Eena-Meena-Deeka-Cutout-1-637312602489952596.jpg
Deeka,Eena Meena Deeka,https://cdn.untumble.com/Uploads/ProductImages/eena-meena-deeka/Eena-Meena-Deeka-Cutout-1-637312602489952596.jpg
Gattu,Gattu Battu,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/3ca565f060ad4b37aced855d93fcb88729893b14e7e3cf8b37b391b84604eff0._RI_TTW_.jpg
Battu,Gattu Battu,https://upload.wikimedia.org/wikipedia/en/4/43/Gattu_Battu_logo.png
Inspector Chunnu,Gattu Battu,https://www.pngkit.com/png/full/366-3666821_inspector-manmani-inspector-manmani-gattu-battu.png
Budhdeb,Bandbudh Aur Budbak,https://upload.wikimedia.org/wikipedia/en/0/08/Bandbudh_Aur_Budbak_logo.jpg
Badrinath,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-Badrinath-and-Buddhdeb.jpg
Mr. Rathi,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-4.jpg
Triplets,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-Mukesh-Ramesh-Ganesh.jpg
Patel,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-Peon-Patel.jpg
Yoga Sir,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-Yogiraj.jpg
Dubey,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-4.jpg
Karan,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-Karan.jpg
Sabina,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-3.jpg
Gyan,Bandbudh Aur Budbak,https://s3images.zee5.com/wp-content/uploads/sites/7/2020/08/Bandbudh-Aur-Budbak-Gyan-Singh.jpg
Sher,Panchatantra,https://rukminim1.flixcart.com/image/850/1000/jg15aq80/book/1/5/7/panchatantra-story-books-tales-from-panchtantra-hindi-sher-or-original-imaf4d7quz8ngdeh.jpeg?q=90
Siyar,Panchatantra,https://motivationalstoryinhindi.com/wp-content/uploads/2019/03/blue-jackal-story-in-hindi.jpg
Kauwa,Panchatantra,https://i.ytimg.com/vi/BwXOtzXzW1w/maxresdefault.jpg
Bandar,Panchatantra,https://im.indiatimes.in/content/itimes/video/2013/May/10/1368210474-panchatantra-tales-in-hindi-bandar-aur-magarmach-animated-story-for-kids-moral-story-kahani.jpg?w=820&h=540&cc=1
Kachua,Panchatantra,https://1.bp.blogspot.com/-ELmfAnJanvU/XrmE3GR_8vI/AAAAAAAABwg/ni7nBuJ-rNYHz_8b1tgmk4QQLIBmKsCpwCLcBGAsYHQ/w1200-h630-p-k-no-nu/Swans%2526Tortoise%2B%25281%2529.jpg
Khargosh,Panchatantra,https://www.merisaheli.com/wp-content/uploads/2016/12/khargosh.jpg
Hathi,Panchatantra,https://i.ytimg.com/vi/jgXpz_aTmrE/maxresdefault.jpg
Hiran,Panchatantra,https://i.ytimg.com/vi/1A7HxbovqCM/maxresdefault.jpg
Sherni,Panchatantra,https://i.ytimg.com/vi/5I8nNQaTGtU/maxresdefault.jpg
Chuha,Panchatantra,https://i.timesnowhindi.com/stories/Mouse_and_Sadhu_story.jpg
Bheriya,Panchatantra,https://i.ytimg.com/vi/uvUhrql47Xc/maxresdefault.jpg
Bagula,Panchatantra,https://4.bp.blogspot.com/-bHepcgAYx6c/V4TF9BVIT2I/AAAAAAAAQWA/LZyEMzXTx_IFrzpXSQBfdsg36e-C1MV4gCLcB/w305/panchatantra-crane-crab-hindi-1.png
Brahman,Panchatantra,https://www.merisaheli.com/wp-content/uploads/2018/03/brahmin.jpg
Lomdi,Panchatantra,https://www.merisaheli.com/wp-content/uploads/2017/11/fox-and-the-crow-story-685x463.jpg
Eli Shane,Slugterra,https://static.wikia.nocookie.net/slugterra/images/0/01/Eli_Shane_in_Slugterra_Eastern_Caverns.png/revision/latest?cb=20150721201108
Trixie Sting,Slugterra,https://static.wikia.nocookie.net/slugterra/images/3/37/Elitrixie.JPG/revision/latest?cb=20140609150431
Kord Zane,Slugterra,https://static.wikia.nocookie.net/slugterra/images/7/7a/Kord_hand_out.jpg/revision/latest?cb=20170321210441
Pronto Geronimole,Slugterra,https://static.wikia.nocookie.net/slugterra/images/f/f3/Pronto.png/revision/latest?cb=20130224214552
Dr. Blakk,Slugterra,https://static.wikia.nocookie.net/slugterra/images/a/aa/Drblackpng.png/revision/latest?cb=20140306050954
Junjie,Slugterra,https://static.wikia.nocookie.net/slugterra/images/d/d4/Junjie.png/revision/latest?cb=20160117204049
Burpy,Slugterra,https://static.wikia.nocookie.net/slugterra/images/f/f4/Infurnusmega-proto.png/revision/latest?cb=20160117210032
Joules,Slugterra,https://static.wikia.nocookie.net/slugterra/images/a/ac/Tazer-prot-MM.png/revision/latest?cb=20141108200252
Tenali Raman,The Adventures of Tenali Raman,https://images.plex.tv/photo?size=medium-360&url=https%3A%2F%2Fimage.tmdb.org%2Ft%2Fp%2Foriginal%2FukcxSkZ2JBhFmxZPyMvAJO0k3ZF.jpg
King Krishnadevaraya,The Adventures of Tenali Raman,https://nettv4u.com/imagine/06-07-2020/the-adventures-of-tenali-rama.jpg
Minister Tathacharya,The Adventures of Tenali Raman,https://i.ytimg.com/vi/u5eAtIaEnT8/maxresdefault.jpg
Varadacharya,The Adventures of Tenali Raman,https://i.ytimg.com/vi/u5eAtIaEnT8/maxresdefault.jpg
Timmarusu,The Adventures of Tenali Raman,https://i.ytimg.com/vi/u5eAtIaEnT8/maxresdefault.jpg
Tom,The Tom and Jerry Show,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/d3b7ea073f9b0f3672d84277de06ea1df12aa69bd02ad2a88fbbad7eb624759b._RI_TTW_.jpg
Jerry,The Tom and Jerry Show,https://i.pinimg.com/originals/6c/07/3d/6c073d0e2486450fe56d3db107b5801a.png
Bob,Bob the Builder,https://upload.wikimedia.org/wikipedia/en/c/c5/Bob_the_builder.jpg
Wendy,Bob the Builder,https://static.wikia.nocookie.net/p__/images/4/4a/TransparentWendy.png/revision/latest?cb=20210911095325&path-prefix=protagonist
Scoop,Bob the Builder,https://static.wikia.nocookie.net/p__/images/2/23/CGIScoop.png/revision/latest?cb=20210910150414&path-prefix=protagonist
Muck,Bob the Builder,https://static.wikia.nocookie.net/btb/images/d/d8/MuckCGI.png/revision/latest?cb=20180929085910
Dizzy,Bob the Builder,https://static.wikia.nocookie.net/btb/images/3/3d/DizzyStopMotion.png/revision/latest?cb=20181103075428
Roley,Bob the Builder,https://static.wikia.nocookie.net/btb/images/6/66/RoleyCGI.png/revision/latest?cb=20180924124229
Lofty,Bob the Builder,https://static.wikia.nocookie.net/btb/images/9/93/LoftyCGI.png/revision/latest?cb=20181030232626
Travis,Bob the Builder,https://static.wikia.nocookie.net/btb/images/1/1b/TravisStopMotion.png/revision/latest?cb=20220121222906
Spud,Bob the Builder,https://ichef.bbci.co.uk/images/ic/640x360/p08rsxfw.jpg
Farmer Pickles,Bob the Builder,https://static.wikia.nocookie.net/btb/images/1/14/Farmer_Pickles.png/revision/latest?cb=20200724124049
Courage,Courage the Cowardly Dog,https://static.wikia.nocookie.net/warner-bros-entertainment/images/e/e5/Courage_cartoon_network.png/revision/latest?cb=20170930042909
Muriel Bagge,Courage the Cowardly Dog,https://static.wikia.nocookie.net/courage/images/d/d9/Muriel_Bagge.png/revision/latest?cb=20181025053335
Eustace Bagge,Courage the Cowardly Dog,https://static.wikia.nocookie.net/courage/images/a/ac/Eustace_Bagge.png/revision/latest?cb=20181025053335
Katz,Courage the Cowardly Dog,https://static.wikia.nocookie.net/courage/images/2/25/Arthur-zambaldi-courage-monsters-katz.jpg/revision/latest/scale-to-width-down/1200?cb=20190804173411
The Computer,Courage the Cowardly Dog,https://static.wikia.nocookie.net/legendsofthemultiuniverse/images/1/12/Computer.jpg/revision/latest?cb=20140324022348
Fred,Courage the Cowardly Dog,https://static.wikia.nocookie.net/courage/images/c/c3/Freaky_Fred.png/revision/latest?cb=20181025052100
Blossom,Powerpuff Girls,https://static.wikia.nocookie.net/powerpuff/images/2/23/Blossom-pic.png/revision/latest?cb=20190329151816
Bubbles,Powerpuff Girls,https://comicvine.gamespot.com/a/uploads/scale_medium/11/111746/5814382-powerpuffgirls-bubbles_large.png
Buttercup,Powerpuff Girls,https://static.wikia.nocookie.net/powerpuff/images/1/14/Buttercup-pic.png/revision/latest?cb=20190329151511
